date, pm25, pm10, o3, no2, so2
2024/2/17, 35, 17, 26, 10, 1
2024/2/18, 47, 15, 18, 12, 1
2024/2/19, 39, 20, 24, 21, 1
2024/2/20, 49, 23, 22, 19, 1
2024/2/21, 47, 14, 37, 9, 1
2024/2/22, 32, 13, 34, 6, 1
2024/2/23, 20, 16, 35, 7, 1
2024/2/24, 23, 16, 35, 4, 1
2024/2/25, 28, , , , 
2024/2/29, 19, 17, 34, 14, 2
2024/3/1, 30, 17, 33, 7, 2
2024/3/2, 30, 12, 35, 8, 2
2024/3/3, 25, 15, 35, 11, 
2024/3/4, 29, 16, 30, 14, 
2024/3/5, 21, 18, 35, 12, 
2024/3/6, 35, 11, 36, 5, 
2024/3/7, 16, 14, 33, 7, 
2024/3/8, 17, , , , 
2024/3/19, 39, 12, 34, 9, 
2024/3/20, 18, 20, 26, 9, 
2024/3/21, 42, 43, 24, 13, 
2024/3/22, 54, 52, 26, 9, 
2024/3/23, 68, 36, 32, 8, 
2024/3/24, 56, 20, 38, 4, 
2024/3/25, 27, 10, 33, 6, 
2024/3/26, 19, 16, 37, 5, 1
2024/3/27, 26, 16, 38, 5, 1
2024/3/28, 26, 9, 40, 11, 1
2024/3/29, 21, 7, 37, 6, 1
2024/3/30, 20, 6, 42, 7, 1
2024/3/31, 11, 13, 41, 10, 1
2023/10/1, 41, 26, 30, 17, 2
2023/10/2, 50, 25, 30, 8, 2
2023/10/3, 41, 16, 27, 11, 2
2023/10/4, 38, 13, 29, 11, 2
2023/10/5, 32, 19, 38, 21, 2
2023/10/6, 45, 31, 40, 21, 2
2023/10/7, 62, 28, 37, 17, 2
2023/10/8, 56, 28, 42, 17, 2
2023/10/9, 56, 29, 43, 19, 2
2023/10/10, 53, 30, 33, 28, 2
2023/10/11, 61, 31, 39, 20, 2
2023/10/12, 57, 31, 31, 10, 2
2023/10/13, 61, 19, 30, 10, 2
2023/10/14, 36, 19, 22, 11, 2
2023/10/15, 37, 17, 20, 7, 2
2023/10/16, 28, 18, 23, 4, 2
2023/10/17, 26, 17, 29, 5, 2
2023/10/18, 23, 13, 32, 4, 
2023/10/19, 19, 14, 34, 9, 
2023/10/20, 20, 16, 25, 14, 
2023/10/21, 37, 8, 25, 2, 
2023/10/22, 22, 11, 26, 18, 
2023/10/23, 21, 15, 25, 15, 
2023/10/24, 29, 22, 22, 10, 
2023/10/25, 30, 16, 21, 8, 
2023/10/26, 20, 16, 26, 12, 
2023/10/27, 28, 14, 32, 4, 
2023/10/28, 23, 13, 30, 6, 
2023/10/29, 19, 8, 27, 13, 
2023/10/30, 12, , , , 
2023/11/1, 17, 15, 30, 6, 
2023/11/2, 22, 18, 32, 7, 
2023/11/3, 28, 24, 34, 4, 
2023/11/4, 31, 17, 29, 12, 
2023/11/5, 25, 15, 27, 18, 1
2023/11/6, 21, 20, 28, 24, 1
2023/11/7, 32, 22, 27, 15, 1
2023/11/8, 46, 14, 31, 15, 1
2023/11/9, 21, 22, 25, 19, 
2023/11/10, 39, 12, 24, 8, 
2023/11/11, 19, 11, 23, 6, 
2023/11/12, 21, 10, 17, 16, 
2023/11/13, 20, 14, 12, 16, 
2023/11/14, 40, 16, 14, 13, 
2023/11/15, 34, 15, 12, 14, 
2023/11/16, 32, 10, 12, 9, 
2023/11/17, 26, 11, 12, 7, 
2023/11/18, 41, 16, 7, 11, 
2023/11/19, 56, 17, 29, 12, 
2023/11/20, 52, 12, 29, 5, 
2023/11/21, 27, 11, 21, 14, 
2023/11/22, 21, 10, 21, 13, 
2023/11/23, 23, 22, 13, 24, 
2023/11/24, 51, 22, 23, 19, 
2023/11/25, 56, 22, 8, 17, 
2023/11/26, 58, 25, 20, 19, 1
2023/11/27, 61, 13, 26, 11, 
2023/11/28, 26, 10, 24, 11, 
2023/11/29, 17, 7, 27, 8, 1
2023/11/30, 11, 8, 27, 17, 1
2023/12/1, 12, 12, 23, 19, 1
2023/12/2, 28, 20, 31, 11, 1
2023/12/3, 56, 15, 22, 20, 1
2023/12/4, 23, 17, 16, 9, 1
2023/12/5, 31, 10, 15, 14, 1
2023/12/6, 26, 19, 22, 15, 1
2023/12/7, 40, 16, 25, 19, 1
2023/12/8, 21, 16, 21, 15, 1
2023/12/9, 30, 15, 14, 15, 1
2023/12/10, 38, 16, 22, 14, 1
2023/12/11, 42, 16, 24, 8, 1
2023/12/12, 28, 13, 27, 13, 1
2023/12/13, 14, 11, 24, 14, 2
2023/12/14, 18, 9, 17, 10, 2
2023/12/15, 27, 7, 19, 9, 2
2023/12/16, 22, 13, 18, 11, 2
2023/12/17, 32, 21, 14, 16, 2
2023/12/18, 61, 27, 18, 15, 2
2023/12/19, 66, 15, 26, 7, 2
2023/12/20, 35, 15, 27, 11, 2
2023/12/21, 32, 28, 9, 21, 2
2023/12/22, 67, 26, 15, 19, 3
2023/12/23, 66, 30, 13, 15, 3
2023/12/24, 81, 32, 9, 11, 3
2023/12/25, 88, 27, 14, 12, 3
2023/12/26, 74, 12, 12, 4, 3
2023/12/27, 43, 10, 8, 8, 3
2023/12/28, 42, 18, 8, 10, 2
2023/12/29, 47, 26, 8, 15, 1
2023/12/30, 78, 16, 24, 16, 
2023/12/31, 53, 29, 20, 16, 1
2023/7/1, 31, 15, 33, 3, 2
2023/7/2, 36, 18, 31, 3, 2
2023/7/3, 39, 11, 24, 2, 2
2023/7/4, 26, 9, 23, 3, 2
2023/7/5, 17, 8, 24, 3, 2
2023/7/6, 16, 8, 22, 4, 2
2023/7/7, 16, 14, 28, 4, 2
2023/7/8, 27, 11, 31, 2, 2
2023/7/9, 20, 11, 37, 4, 2
2023/7/10, 24, 11, 18, 2, 2
2023/7/11, 22, 9, 28, 3, 2
2023/7/12, 17, 12, 37, 4, 2
2023/7/13, 18, 8, 20, 3, 2
2023/7/14, 21, 8, 32, 2, 2
2023/7/15, 14, 12, 32, 1, 2
2023/7/16, 20, 17, 39, 4, 3
2023/7/17, 28, 19, 37, 4, 3
2023/7/18, 32, 16, 34, 4, 3
2023/7/19, 27, 11, 22, 2, 2
2023/7/20, 9, 8, 26, 3, 
2023/7/21, 14, 10, 29, 2, 
2023/7/22, 20, 13, 29, 1, 
2023/7/23, 21, 8, 31, 2, 
2023/7/24, 21, 12, 31, 2, 
2023/7/25, 23, 17, 37, 4, 
2023/7/26, 33, 9, 27, 3, 
2023/7/27, 24, 9, 20, 5, 
2023/7/28, 22, 8, 22, 3, 
2023/7/29, 24, 7, 34, 2, 
2023/7/30, 15, 10, 29, 2, 
2023/7/31, 19, 7, 18, 2, 
2023/8/1, 17, 10, 28, 2, 
2023/8/2, 14, 15, 33, 2, 
2023/8/3, 17, 17, 42, 4, 
2023/8/4, 28, 16, 48, 8, 
2023/8/5, 42, 22, 40, 8, 
2023/8/6, 54, 27, 65, 11, 1
2023/8/7, 60, 29, 37, 9, 
2023/8/8, 54, 25, 30, 5, 
2023/8/9, 42, 17, 26, 4, 
2023/8/10, 24, 9, 18, 3, 
2023/8/11, 25, 7, 31, 2, 
2023/8/12, 18, 13, 30, 1, 1
2023/8/13, 22, 13, 34, 3, 1
2023/8/14, 24, 8, 31, 2, 1
2023/8/15, 13, 11, 36, 2, 1
2023/8/16, 13, 10, 27, 3, 1
2023/8/17, 22, 9, 23, 5, 1
2023/8/18, 28, 13, 15, 4, 1
2023/8/19, 28, 8, 31, 3, 1
2023/8/20, 17, 14, 48, 7, 1
2023/8/21, 21, 16, 46, 13, 1
2023/8/22, 35, 25, 57, 17, 1
2023/8/23, 56, 21, 31, 6, 1
2023/8/24, 38, 18, 32, 4, 1
2023/8/25, 31, 11, 31, 1, 1
2023/8/26, 16, 10, 31, 1, 1
2023/8/27, 12, 12, 26, 2, 1
2023/8/28, 18, 10, 25, 2, 1
2023/8/29, 24, 9, 32, 2, 1
2023/8/30, 15, 10, 27, 4, 1
2023/8/31, 18, 7, 25, 3, 1
2023/9/1, 16, 7, 32, 3, 1
2023/9/2, 16, 9, 35, 5, 1
2023/9/3, 25, 12, 29, 4, 1
2023/9/4, 23, 15, 28, 6, 1
2023/9/5, 29, 14, 24, 5, 1
2023/9/6, 20, 12, 21, 4, 1
2023/9/7, 29, 11, 17, 5, 1
2023/9/8, 27, 9, 30, 6, 1
2023/9/9, 21, 11, 21, 10, 1
2023/9/10, 23, 11, 26, 9, 2
2023/9/11, 28, 8, 27, 8, 1
2023/9/12, 23, 11, 38, 7, 2
2023/9/13, 24, 15, 42, 9, 2
2023/9/14, 32, 16, 32, 8, 2
2023/9/15, 37, 10, 30, 3, 2
2023/9/16, 22, 16, 30, 4, 2
2023/9/17, 20, 16, 31, 11, 2
2023/9/18, 17, 15, 33, 11, 2
2023/9/19, 22, 10, 28, 10, 2
2023/9/20, 17, 9, 28, 5, 1
2023/9/21, 14, 12, 30, 8, 2
2023/9/22, 13, 12, 36, 7, 2
2023/9/23, 15, 13, 40, 11, 2
2023/9/24, 27, 16, 41, 12, 2
2023/9/25, 36, 10, 28, 6, 2
2023/9/26, 25, 14, 25, 14, 2
2023/9/27, 28, 9, 27, 7, 2
2023/9/28, 23, 12, 33, 11, 2
2023/9/29, 22, 20, 49, 14, 2
2023/9/30, 45, 18, 45, 15, 2
2023/4/5, 21, 17, 42, 8, 1
2023/4/6, 37, 23, 42, 14, 1
2023/4/7, 51, 21, 49, 20, 1
2023/4/8, 35, , 45, 16, 2
2023/4/11, 16, 15, 30, 4, 1
2023/4/12, 18, 12, 37, 5, 1
2023/4/13, 15, , 25, 16, 2
2023/4/16, 33, 11, 35, 5, 2
2023/4/17, 23, 21, 20, 13, 2
2023/4/18, 42, 21, 41, 12, 2
2023/4/19, 36, 20, 37, 12, 2
2023/4/20, 35, 13, 36, 9, 2
2023/4/21, 18, 14, 18, 15, 2
2023/4/22, 15, 12, 25, 13, 1
2023/4/23, 27, 11, 34, 6, 1
2023/4/24, 25, 11, 30, 6, 1
2023/4/25, 21, 12, 35, 5, 1
2023/4/26, 15, 17, 24, 13, 1
2023/4/27, 28, 12, 32, 10, 1
2023/4/28, 25, 6, 32, 8, 1
2023/4/29, 21, 8, 27, 3, 1
2023/4/30, 12, , 31, 1, 1
2023/5/2, 38, 15, 43, 7, 1
2023/5/3, 39, 12, 36, 7, 1
2023/5/4, 20, 19, 35, 7, 1
2023/5/5, 24, 17, 37, 9, 1
2023/5/6, 28, 14, 29, 7, 1
2023/5/7, 21, 10, 36, 2, 1
2023/5/8, 23, 8, 29, 3, 1
2023/5/9, 17, 16, 31, 3, 1
2023/5/10, 27, 18, 38, 3, 1
2023/5/11, 26, 16, 39, 3, 1
2023/5/12, 26, 10, 35, 2, 1
2023/5/13, 21, 13, 37, 3, 2
2023/5/14, 28, 14, 42, 3, 2
2023/5/15, 25, 19, 37, 3, 2
2023/5/16, 30, 16, 45, 5, 2
2023/5/17, 28, 19, 43, 6, 2
2023/5/18, 38, 23, 47, 6, 2
2023/5/19, 48, 19, 49, 7, 2
2023/5/20, 42, 14, 44, 6, 2
2023/5/21, 38, 13, 43, 5, 2
2023/5/22, 37, 17, 43, 12, 2
2023/5/23, 44, 11, 37, 13, 2
2023/5/24, 30, 14, 42, 8, 2
2023/5/25, 45, 17, 45, 11, 2
2023/5/26, 39, 10, 42, 4, 2
2023/5/27, 39, 9, 40, 4, 2
2023/5/28, 27, 16, 39, 3, 2
2023/5/29, 35, 14, 34, 7, 2
2023/5/30, 28, 14, 33, 7, 2
2023/5/31, 27, 12, 35, 8, 2
2023/6/1, 27, 17, 40, 8, 2
2023/6/2, 44, 18, 45, 6, 2
2023/6/3, 46, 15, 45, 4, 2
2023/6/4, 45, 11, 45, 3, 2
2023/6/5, 39, , 37, 4, 2
2023/6/9, 23, 15, 35, 4, 3
2023/6/10, 30, 13, 38, 5, 3
2023/6/11, 30, 9, 31, 8, 3
2023/6/12, 25, 8, 29, 4, 3
2023/6/13, 17, 10, 36, 3, 3
2023/6/14, 19, 10, 36, 3, 3
2023/6/15, 31, 12, 44, 6, 3
2023/6/16, 27, 11, 35, 5, 3
2023/6/17, 26, 13, 31, 2, 3
2023/6/18, 33, 14, 34, 2, 3
2023/6/19, 34, 8, 24, 5, 3
2023/6/20, 16, 7, 33, 6, 3
2023/6/21, 16, 12, 33, 5, 3
2023/6/22, 26, 14, 37, 5, 3
2023/6/23, 32, 19, 47, 6, 1
2023/6/24, 49, 13, 63, 7, 1
2023/6/25, 39, 16, 36, 2, 1
2023/6/26, 29, 19, 34, 3, 1
2023/6/27, 38, 21, 33, 5, 1
2023/6/28, 36, 20, 35, 4, 1
2023/6/29, 29, 16, 30, 2, 1
2023/6/30, 23, 20, 36, 3, 1
2023/1/2, 24, 16, 19, 20, 
2023/1/3, 35, 15, 16, 17, 
2023/1/4, 43, 13, 13, 14, 
2023/1/5, 46, , , , 
2023/1/12, 25, 21, 9, 25, 
2023/1/13, 34, 21, 11, 13, 
2023/1/14, 60, 18, 30, 16, 
2023/1/15, 47, 13, 29, 8, 
2023/1/16, 31, 15, 34, 6, 
2023/1/17, 21, 10, 32, 11, 
2023/1/18, 17, 15, 29, 18, 1
2023/1/19, 32, 8, 25, 10, 1
2023/1/20, 16, 4, 30, 4, 1
2023/1/21, 12, 4, 26, 7, 1
2023/1/22, 13, 9, 20, 16, 1
2023/1/23, 24, 9, 22, 13, 1
2023/1/24, 29, 8, 18, 12, 1
2023/1/25, 26, 15, 25, 14, 1
2023/1/26, 44, 9, 27, 9, 1
2023/1/27, 32, 9, 26, 9, 1
2023/1/28, 25, 9, 24, 11, 1
2023/1/29, 32, , 19, 11, 1
2023/2/6, 33, 10, , 9, 1
2023/2/7, 26, 15, 23, 7, 1
2023/2/9, 26, 6, 32, 5, 1
2023/2/10, 19, 8, 32, 3, 1
2023/2/11, 17, , 23, 2, 1
2023/2/15, 31, 23, 30, 14, 2
2023/2/16, 46, 29, 25, 9, 2
2023/2/17, 41, , 25, 7, 2
2023/2/22, 48, , , , 
2023/2/28, 31, 16, 31, 15, 2
2023/3/1, 39, 22, 10, 30, 2
2023/3/2, 47, 28, 41, 11, 1
2023/3/3, 68, , , , 
2023/3/15, 42, 26, 35, 15, 
2023/3/16, 55, 16, 34, 10, 
2023/3/17, 38, , , , 
2023/3/19, 19, 11, 30, 12, 1
2023/3/20, 24, 9, 34, 9, 1
2023/3/21, 19, 12, 33, 12, 1
2023/3/22, 25, 14, 35, 16, 1
2023/3/23, 26, 9, 32, 5, 1
2023/3/24, 21, , 35, 9, 1
2023/3/26, 22, 15, 28, 11, 1
2023/3/27, 23, 25, 19, 23, 1
2023/3/29, 43, 23, 29, 8, 1
2023/3/30, 37, 21, 23, 8, 1
2023/3/31, 38, , , , 
2022/10/2, 27, 30, 39, 18, 
2022/10/3, 59, 29, 28, 26, 1
2022/10/4, 55, 35, 27, 27, 
2022/10/5, 29, 32, 35, 17, 
2022/10/6, 32, 54, 29, 16, 
2022/10/7, 57, 38, 39, 18, 
2022/10/8, 54, 35, 36, 9, 
2022/10/9, 52, 18, 33, 4, 
2022/10/10, 27, 12, 16, 15, 
2022/10/11, 29, 13, 24, 8, 
2022/10/12, 25, 16, 32, 8, 
2022/10/13, 24, 10, 28, 7, 1
2022/10/14, 29, 8, 23, 8, 
2022/10/15, 15, 7, 17, 6, 
2022/10/16, 17, 20, 15, 8, 
2022/10/17, 28, 28, 23, 12, 1
2022/10/18, 46, 13, 25, 5, 
2022/10/19, 13, 13, 26, 9, 
2022/10/20, 15, 21, 26, 8, 
2022/10/21, 16, 12, 26, 8, 
2022/10/22, 17, 19, 33, 4, 
2022/10/23, 18, 16, 33, 4, 
2022/10/24, 22, 19, 21, 13, 
2022/10/25, 22, 25, 30, 6, 
2022/10/26, 21, 17, 22, 9, 
2022/10/27, 20, 17, 21, 6, 
2022/10/28, 17, 31, 28, 9, 
2022/10/29, 40, 18, 27, 13, 
2022/10/30, 45, 11, 28, 14, 
2022/10/31, 20, 14, 24, 8, 
2022/11/1, 14, 16, 30, 8, 
2022/11/2, 15, 21, 13, 22, 1
2022/11/3, 42, 12, 17, 17, 1
2022/11/4, 14, 16, 24, 13, 
2022/11/5, 40, 19, 21, 15, 
2022/11/6, 51, 17, 18, 18, 
2022/11/7, 49, 13, 20, 9, 1
2022/11/8, 27, 19, 24, 13, 
2022/11/9, 28, 16, 16, 24, 
2022/11/10, 42, 10, 18, 16, 
2022/11/11, 25, , 20, 12, 
2022/11/14, 14, 14, 25, 12, 
2022/11/15, 14, 17, 27, 10, 
2022/11/16, 18, 12, 22, 12, 
2022/11/17, 17, 10, 22, 10, 
2022/11/18, 15, , 28, 13, 
2022/11/20, 22, 10, 28, 10, 
2022/11/21, 19, 20, 23, 10, 
2022/11/22, 18, 18, 21, 13, 
2022/11/23, 25, , 26, 11, 
2022/11/29, 38, 20, 19, 19, 
2022/11/30, 47, 8, 15, 19, 
2022/12/1, 18, 12, 20, 11, 
2022/12/2, 40, 16, 14, 14, 
2022/12/3, 53, 20, 14, 10, 
2022/12/4, 61, 10, 27, 11, 1
2022/12/5, 28, 20, 20, 11, 
2022/12/6, 51, 18, 8, 21, 1
2022/12/7, 52, 13, 31, 7, 
2022/12/8, 22, 10, 30, 9, 
2022/12/9, 19, 14, 30, 12, 
2022/12/10, 24, 18, 26, 12, 
2022/12/11, 28, 24, 24, 5, 
2022/12/12, 30, 11, 26, 3, 
2022/12/13, 17, 15, 26, 5, 
2022/12/14, 18, 18, 26, 10, 
2022/12/15, 23, 10, 24, 15, 
2022/12/16, 20, 16, 24, 14, 
2022/12/17, 40, 14, 20, 19, 
2022/12/18, 38, 14, 26, 8, 
2022/12/19, 27, 13, 28, 6, 
2022/12/20, 21, 16, 27, 8, 
2022/12/21, 18, 16, 25, 8, 
2022/12/22, 26, 15, 22, 13, 
2022/12/23, 29, 12, 21, 13, 
2022/12/24, 23, 9, 28, 5, 
2022/12/25, 17, 15, 31, 4, 
2022/12/26, 18, 23, 19, 13, 
2022/12/27, 14, 22, 4, 17, 
2022/12/28, 22, 20, 23, 16, 
2022/12/29, 31, 20, 31, 6, 
2022/12/30, 28, 20, 31, 4, 
2022/12/31, 51, 21, 29, 5, 
2023/1/1, 46, 11, 29, 5, 
2022/7/1, 20, 13, 31, 5, 
2022/7/2, 20, 17, 32, 4, 
2022/7/3, 34, 20, 27, 6, 
2022/7/4, 33, 17, 27, 7, 
2022/7/5, 40, 19, 37, 7, 
2022/7/6, 40, 19, 47, 10, 1
2022/7/7, 43, 22, 56, 13, 
2022/7/8, 56, 19, 55, 18, 
2022/7/9, 49, 17, 50, 5, 
2022/7/10, 52, 17, 34, 8, 
2022/7/11, 36, 25, 35, 14, 
2022/7/12, 49, 32, 45, 20, 
2022/7/13, 56, 27, 31, 13, 
2022/7/14, 47, 28, 35, 17, 
2022/7/15, 50, 18, 36, 6, 
2022/7/16, 47, 16, 34, 3, 
2022/7/17, 40, 14, 21, 5, 
2022/7/18, 23, 14, 24, 3, 
2022/7/19, 25, 15, 26, 4, 
2022/7/20, 25, 18, 27, 4, 
2022/7/21, 33, 21, 33, 5, 
2022/7/22, 39, 18, 33, 5, 
2022/7/23, 31, 14, 24, 4, 
2022/7/24, 29, 11, 22, 4, 
2022/7/25, 23, 11, 19, 3, 
2022/7/26, 26, 16, 28, 3, 
2022/7/27, 20, 10, 19, 2, 
2022/7/28, 21, 9, 22, 3, 
2022/7/29, 17, 17, 34, 6, 
2022/7/30, 37, 25, 33, 16, 
2022/7/31, 60, 38, 36, 17, 
2022/8/1, 86, 23, 26, 8, 
2022/8/2, 58, 15, 18, 3, 1
2022/8/3, 39, 14, 18, 3, 
2022/8/4, 28, 20, 23, 4, 
2022/8/5, 43, 22, 25, 6, 
2022/8/6, 51, 22, 31, 6, 
2022/8/7, 50, 25, 30, 7, 
2022/8/8, 58, 27, 33, 7, 
2022/8/9, 61, 25, 28, 9, 
2022/8/10, 41, 19, 31, 8, 
2022/8/11, 45, 21, 30, 7, 
2022/8/12, 48, 16, 30, 4, 
2022/8/13, 37, 14, 27, 2, 
2022/8/14, 32, 16, 41, 2, 
2022/8/15, 36, 14, 26, 3, 
2022/8/16, 27, 18, 29, 2, 
2022/8/17, 16, 18, 37, 4, 
2022/8/18, 26, 17, 21, 13, 
2022/8/19, 23, , , , 
2022/8/22, 27, 20, 22, 6, 
2022/8/23, 38, 12, 13, 3, 
2022/8/24, 22, 10, 16, 3, 
2022/8/25, 13, 15, 22, 4, 
2022/8/26, 21, 18, 29, 4, 
2022/8/27, 39, 19, 29, 5, 
2022/8/28, 39, 15, 26, 7, 
2022/8/29, 25, 13, 28, 5, 
2022/8/30, 22, 11, 26, 5, 
2022/8/31, 18, 9, 17, 3, 
2022/9/1, 15, 6, 22, 4, 
2022/9/2, 14, 11, 34, 3, 
2022/9/3, 14, 10, 19, 3, 
2022/9/4, 23, 12, 19, 4, 
2022/9/5, 21, 14, 27, 5, 
2022/9/6, 20, 16, 24, 12, 
2022/9/7, 25, 14, 11, 6, 
2022/9/8, 28, 9, 21, 5, 
2022/9/9, 21, 10, 22, 5, 
2022/9/10, 11, 9, 14, 6, 
2022/9/11, 20, 13, 21, 4, 
2022/9/12, 17, 18, 23, 3, 
2022/9/13, 18, 13, 20, 7, 
2022/9/14, 18, 9, 25, 9, 
2022/9/15, 18, 17, 29, 9, 
2022/9/16, 21, , 38, 6, 
2022/9/18, 47, , , , 
2022/9/20, 49, 19, 37, 10, 
2022/9/21, 40, 20, 35, 13, 
2022/9/22, 39, 19, 35, 8, 
2022/9/23, 36, , 31, 2, 
2022/9/25, 16, 13, 35, 7, 
2022/9/26, 18, 14, 29, 4, 
2022/9/27, 18, 10, 31, 3, 
2022/9/28, 16, 16, 26, 6, 
2022/9/29, 18, 11, 28, 4, 
2022/9/30, 17, , 36, 10, 
2022/4/1, 12, 11, 33, 9, 
2022/4/2, 13, 7, 36, 5, 
2022/4/3, 15, 8, 35, 7, 
2022/4/4, 14, 7, 32, 6, 1
2022/4/5, 15, 14, 35, 10, 
2022/4/6, 20, 6, 29, 6, 
2022/4/7, 14, 9, 29, 6, 
2022/4/8, 12, 10, 24, 7, 
2022/4/9, 15, 12, 33, 8, 
2022/4/10, 28, 10, 38, 3, 
2022/4/11, 19, 11, 32, 7, 
2022/4/12, 18, 11, 32, 4, 
2022/4/13, 19, 10, 30, 5, 
2022/4/14, 18, 10, 34, 5, 
2022/4/15, 23, 13, 32, 7, 
2022/4/16, 33, 12, 34, 3, 
2022/4/17, 35, 15, 31, 2, 
2022/4/18, 22, 15, 40, 3, 
2022/4/19, 21, 12, 39, 3, 
2022/4/20, 24, 13, 36, 5, 
2022/4/21, 23, 9, 34, 8, 
2022/4/22, 13, 8, 36, 9, 
2022/4/23, 15, 13, 40, 17, 
2022/4/24, 21, 16, 36, 11, 
2022/4/25, 35, 10, 31, 8, 
2022/4/26, 21, 14, 34, 9, 
2022/4/27, 18, 15, 35, 7, 
2022/4/28, 20, 9, 37, 7, 
2022/4/29, 21, 25, 42, 12, 
2022/4/30, 52, 14, 43, 3, 
2022/5/1, 24, 12, 43, 5, 
2022/5/2, 27, 17, 39, 4, 
2022/5/3, 26, 13, 39, 6, 
2022/5/4, 29, 16, 38, 10, 
2022/5/5, 36, 18, 37, 14, 
2022/5/6, 41, 16, 46, 11, 1
2022/5/7, 43, 16, 44, 11, 
2022/5/8, 42, 21, 38, 13, 
2022/5/9, 48, 22, 42, 15, 
2022/5/10, 51, 19, 38, 13, 
2022/5/11, 39, 16, 44, 9, 
2022/5/12, 30, 21, 44, 15, 
2022/5/13, 46, 28, 41, 8, 
2022/5/14, 48, 18, 26, 2, 
2022/5/15, 28, 16, 20, 3, 
2022/5/16, 17, 10, 18, 5, 
2022/5/17, 16, 8, 30, 4, 
2022/5/18, 16, 13, 36, 7, 
2022/5/19, 16, 22, 30, 13, 
2022/5/20, 26, 38, 30, 5, 
2022/5/21, 50, 14, 27, 3, 
2022/5/22, 23, 10, 27, 3, 
2022/5/23, 18, 13, 34, 3, 
2022/5/24, 16, 11, 35, 4, 
2022/5/25, 17, 17, 37, 10, 
2022/5/26, 24, 21, 47, 10, 
2022/5/27, 53, 24, 41, 10, 
2022/5/28, 51, 14, 37, 2, 
2022/5/29, 23, 14, 30, 3, 1
2022/5/30, 18, 8, 22, 3, 2
2022/5/31, 15, 15, , , 
2022/6/1, 18, 15, , 3, 
2022/6/2, 19, 13, , 3, 
2022/6/3, 18, 10, , 3, 
2022/6/4, 16, 8, , 2, 
2022/6/5, 15, 8, , 5, 
2022/6/6, 16, 6, , , 
2022/6/7, 16, 5, 9, 3, 
2022/6/8, 15, 6, 24, 3, 
2022/6/9, 15, 17, 26, 3, 
2022/6/10, 20, 18, 27, 3, 
2022/6/11, 31, 19, 30, 3, 
2022/6/12, 31, 22, 34, 7, 
2022/6/13, 41, 27, 29, 8, 
2022/6/14, 42, 33, 19, 10, 
2022/6/15, 45, 18, 22, 6, 
2022/6/16, 28, 14, 25, 7, 
2022/6/17, 28, 11, 24, 4, 
2022/6/18, 20, 9, 29, 3, 
2022/6/19, 19, 10, 28, 3, 
2022/6/20, 18, 10, 24, 6, 
2022/6/21, 20, 11, 26, 6, 
2022/6/22, 20, 12, 26, 6, 
2022/6/23, 19, 9, 21, 7, 
2022/6/24, 18, 9, 37, 3, 
2022/6/25, 17, 12, 30, 3, 
2022/6/26, 18, 12, 28, 3, 
2022/6/27, 17, 16, 29, 3, 
2022/6/28, 17, 10, 27, 2, 
2022/6/29, 19, 15, 28, 3, 
2022/6/30, 18, 13, 25, 3, 
2022/1/3, 24, 18, 28, 11, 
2022/1/4, 33, 13, 26, 12, 
2022/1/5, 16, 16, 26, 11, 
2022/1/6, 19, 12, 25, 10, 
2022/1/7, 19, 16, 23, 15, 
2022/1/8, 29, 18, 28, 11, 
2022/1/9, 34, 7, 24, 10, 
2022/1/10, 13, 11, 16, 13, 
2022/1/11, 15, 12, 15, 16, 
2022/1/12, 40, 11, 23, 10, 
2022/1/13, 22, 10, 17, 14, 
2022/1/14, 33, , , , 
2022/1/16, 64, 24, 15, 21, 
2022/1/17, 61, 21, 19, 19, 
2022/1/18, 59, 28, 16, 24, 
2022/1/19, 82, 31, 15, 24, 
2022/1/20, 80, 26, 18, 19, 
2022/1/21, 61, 11, 22, 11, 
2022/1/22, 40, 13, 23, 10, 
2022/1/23, 49, 10, 18, 18, 
2022/1/24, 33, 13, 21, 18, 
2022/1/25, 29, 11, 20, 17, 
2022/1/26, 27, 18, 21, 16, 
2022/1/27, 29, 21, 24, 17, 
2022/1/28, 43, , 16, 24, 
2022/1/30, 35, 31, 21, 21, 
2022/1/31, 73, 23, 22, 26, 
2022/2/1, 59, 18, 24, 25, 
2022/2/2, 47, 39, 6, 30, 
2022/2/3, 79, 26, 25, 20, 
2022/2/4, 60, , 27, 6, 
2022/2/6, 28, 14, 23, 20, 
2022/2/7, 40, 27, 10, 36, 
2022/2/8, 52, 30, 22, 26, 
2022/2/9, 63, 40, 10, 28, 
2022/2/10, 79, 42, 20, 28, 
2022/2/11, 74, 32, 26, 17, 
2022/2/12, 65, 14, 31, 16, 
2022/2/13, 29, 13, 30, 14, 
2022/2/14, 21, 20, 27, 20, 
2022/2/15, 30, 17, 27, 19, 
2022/2/16, 32, 6, 22, 9, 
2022/2/17, 14, 5, 30, 8, 
2022/2/18, 15, 13, 32, 3, 
2022/2/19, 15, 10, 31, 6, 
2022/2/20, 28, 18, 27, 11, 
2022/2/21, 30, 21, 26, 21, 
2022/2/22, 47, 17, 19, 25, 
2022/2/23, 35, 27, 9, 23, 
2022/2/24, 57, 25, 24, 15, 
2022/2/25, 59, 17, 29, 9, 
2022/2/26, 33, 17, 33, 6, 
2022/2/27, 37, 15, 28, 17, 
2022/2/28, 30, 29, 27, 19, 
